Filing Date,Document Type,Filed By,Description
"June 26, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=571855628""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2506059 - Order Extending Statutory Deadline. This decision extends the statutory deadline in this proceeding to October 31, 2025."
"May 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=567932975""><span style=""color:blue""><u>COMMENTS</u></span></a>","The Greenlining Institute,Green For All",Reply Comments on Administrative Law Judges Ruling
"May 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=567610437""><span style=""color:blue""><u>COMMENTS</u></span></a>",San Diego Gas & Electric Company,Reply comments of San Diego Gas & Electric Company on Administrative Law Judge Ruling directing comments on Tariff On-Bill Proposal.
"May 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=567932952""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Edison Company,Reply comments of Southern California Edison Company on Administrative Law Judges Ruling directing parties to file comments on Tariff On-Bill Proposals.
"May 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=567643167""><span style=""color:blue""><u>COMMENTS</u></span></a>",VEIC,Reply comments in response to Administrative Law Judges Ruling directing parties to file comments on Tariff On-Bill Proposals.
"May 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=567643166""><span style=""color:blue""><u>COMMENTS</u></span></a>",Small Business Utility Advocates,"Reply comments of Small Business Utility Advocates to April 16, 2025, Ruling regarding Tariff On-Bill Financing Proposals."
"May 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=567955366""><span style=""color:blue""><u>COMMENTS</u></span></a>","National Consumer Law Center,The Utility Reform Network,Center for Accessible Technology,National Housing Law Project","Reply comments of Center for Accessible Technology, The Utility Reform Network, National Consumer Law Center, and National Housing Law Project on the Administrative Law Judges Ruling seeking comments on Tariff On-Bill Prpposals."
"May 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=567610438""><span style=""color:blue""><u>COMMENTS</u></span></a>",Pacific Gas and Electric Company,Pacific Gas and Electric Companys reply comments on Administrative Law Judges Ruling directing parties to file comments on Tariff On-Bill Proposals.
"May 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=568267245""><span style=""color:blue""><u>COMMENTS</u></span></a>",Rewiring America,REPLY COMMENTS ON JOINT TARIFF ON-BILL PILOT PROPOSALS
"May 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=567955371""><span style=""color:blue""><u>COMMENTS</u></span></a>",Silicon Valley Clean Energy Authority,Reply comments of the Silicon Valley Clean Energy Authority pursuant to the Administrative Law Judges Ruling regarding Tariff On-Bill Proposals.
