Filing Date,Document Type,Filed By,Description
"July 24, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=574355210""><span style=""color:blue""><u>NOTICE</u></span></a>","City of Fresno, Public Works Department,ForeFront Power, LLC","THREE-DAY ADVANCE NOTICE OF EX PARTE COMMUNICATION. City of Fresno and Forefront Power, LLC are granted an ex parte meeting with Kerry Fleisher, Chief Policy Advisor to Commission President Alice Reynolds. The meeting was originally scheduled to take place on Friday, July 25, 2025, from 2:00pm to 2:30pm via WebEx. It has been rescheduled to Tuesday, July 29, 2025, from 2:30pm to 3:00pm"
"July 22, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=574351044""><span style=""color:blue""><u>NOTICE</u></span></a>","City of Fresno, Public Works Department,ForeFront Power, LLC","THREE-DAY ADVANCE NOTICE OF EX PARTE COMMUNICATION. City of Fresno and Forefront Power, LLC are granted an ex parte meeting with Kerry Fleisher, Chief Policy Advisor to Commission President Alice Reynolds on July 25, 2025 from 2:00 pm to 2:30 pm."
"July 11, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=572575033""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>",ALJ/CHANG/CPUC,"PROPOSED DECISION GRANTING COMPENSATION TO THE PROTECT OUR COMMUNITIES FOUNDATION FOR SUBSTANTIAL CONTRIBUTION TO DECISION 22-12-056. Opening Comments, which shall not exceed 15 pages, are due on July 31, 2025. Reply Comments, which shall not exceed 5 pages, are due 5 days after the last day for filing Opening Comments."
"July 08, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=572574751""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>",ALJ/CHANG/CPUC,"PROPOSED DECISION GRANTING COMPENSATION TO SMALL BUSINESS UTILITY ADVOCATES FOR SUBSTANTIAL CONTRIBUTION TO DECISION22-12-056. Opening comments, which shall not exceed 15 pages, are due no later than July 28, 2025.  Reply comments, which shall not exceed 5 pages, are due within five days after the last day for filing opening comments."
"June 20, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=570436413""><span style=""color:blue""><u>EXPARTE</u></span></a>",Solar Energy Industries Association,Notice of Ex Parte Meeting.
"June 12, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=569070565""><span style=""color:blue""><u>EXPARTE</u></span></a>",Solar Energy Industries Association,"THREE DAY NOTICE OF GRANT OF EX PARTE MEETING Pursuant to Rule 8.2 (c)(2)(B) of the Rules of Practice and Procedure of the California Public Utilities Commission (Commission), the Solar Energy Industries Association (SEIA)  provides notice that it has been granted an ex parte meeting Kerry Fleisher, Advisor to Commission President Alice Reynolds. The meeting, which will be held by Webex, is scheduled for Tuesday, June 17, 2025 from 3:00 p.m. to 3:30 p.m.  Attending for SEIA will be Stephanie Doyle, Director, State Affairs, California,  and Jeanne Armstrong, Regulatory Counsel. In addition, Guy Eisenbrey, Director of Municipal Services for the Town of Apple Valley, and Ryan Palmer of the City of Palm Desert will be in attendance."
"May 21, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566886102""><span style=""color:blue""><u>EXPARTE</u></span></a>",California Solar & Storage Association,"NOTICE OF EX PARTE COMMUNICATION. California Solar & Storage Association reports an ex parte meeting with Kerry Fleisher, Chief of Staff to Commissioner Alice Reynolds on May 20, 2025 at 3:30 pm."
"May 15, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566891701""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2505004 - Decision Granting Pacific Gas and Electric Company, Southern California Edison Company, And San Diego Gas & Electric Company's Petition For Modification Of Decision 23-11-068 And Denying Bloom Energy Corporation's Petition For Modification Of Decision 23-11-068. Rulemaking 20-08-020 is closed."
"May 13, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566326076""><span style=""color:blue""><u>EXPARTE</u></span></a>",California Solar & Storage Association,"CALIFORNIA SOLAR & STORAGE ASSOCIATION THREE-DAY ADVANCE NOTICE OF EX PARTE COMMUNICATION Pursuant to Rule 8.2 of the California Public Utilities Commissions (Commission) Rules of Practice and Procedure, the California Solar & Storage Association (CALSSA) hereby provides advance notice of an ex parte meeting to discuss SCE Advice Letter 5549-E, Clarification of Due Dates for Final Documents Related to the Aggregation Provisions of Schedule NEM-ST  Net Energy Metering Successor Tariff and Schedule NEM-V-ST  Virtual Net Energy Metering Successor Tariff. The meeting is scheduled to take place via Webex on Tuesday, May 20, at 3:30pm. It is expected to last for 30 minutes. Attending the meeting for the Commission will be Kerry Fleisher, Chief of Staff to Commissioner Alice Reynolds. Attending the meeting for CALSSA will be Kevin Luo (Policy Advisor) and Brad Heavner (Executive Director)."
"April 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=565140197""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",San Jose Clean Energy,Quarterly Disadvantaged Communities Green Tariff Report for First Quarter 2025.
