Filing Date,Document Type,Filed By,Description
"November 02, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520779859""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2311042 - Decision Granting Compensation To Green Power Institute For Substantial Contribution To Resolution WSD-017, WSD-018, WSD-019, WSD-020, WSD-021, WSD-022 & M-4860."
"November 02, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520763329""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2311035 - Decision Granting Compensation To Small Business Utility Advocates For Substantial Contribution To Decision 21-12-025 And Resolutions WSD-012, WSD-019, WSD-020, WSD-021 & M-4860."
"April 27, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=507837784""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2304052 - Decision Granting Compensation To Green Power Institute For Substantial Contribution To Resolution (RES.) WSD-011, RES. WSD-012, And RES. WSD-013."
"March 16, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=503911578""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2303031 - Decision Granting Compensation To The Protect Our Communities Foundation For Substantial Contribution To Resolutions WSD-011 and WSD-012.
"February 23, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=502990925""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2302034 - Decision Granting Compensation To The Utility Reform Network For Substantial Contribution To Resolutions WSD 011 And 012.
"January 12, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=501281292""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2301013 - Decision Granting Compensation To William B. Abrams For Substantial Contribution To Decisions (D.) 19-05-036 And D.19-05-037.
"November 21, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499007203""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>",ALJ/FOGEL/CPUC,"PROPOSED DECISION GRANTING COMPENSATION TO WILLIAM B. ABRAMS FOR SUBSTANTIAL CONTRIBUTION TO DECISIONS (D.) 19-05-036 AND D.19-05-037. Opening Comments, which shall not exceed 15 pages, are due on December 11, 2022. Reply Comments, which shall not exceed 5 pages, are due 5 days after the last day for filing Opening Comments."
"October 06, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=497552078""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2210015 - Decision Granting Compensation To The Protect Our Communities Foundation For Substantial Contribution To Decision (D.) 19-05-036, D.19-05-037, D.19-05-038 And D.19-05-039."
"July 01, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=490740376""><span style=""color:blue""><u>REQUEST</u></span></a>",Small Business Utility Advocates,"Amended; for intervenor compensation for contribution to D21-12-25 and  Resolutions WSD-012, WSD-019, WSD-020, WSD-021 and M-4860 [amended pursuant to Ruling of June 7, 2022]."
"June 23, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=488541126""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2206040 - Decision On Intervenor Compensation Claims Of Mendocino County, Napa, And Sonoma Counties And The City of Santa Rosa."
"June 07, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=483885686""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/FOGEL/CPUC,RULING GRANTING APPLICANT’S MOTION TO FILE AMENDED CLAIM FOR INTERVENOR COMPENSATION PROCEEDING
"June 02, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=484092465""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2206017 - Decision Granting Compensation To The Green Power Institute For Substantial Contribution To Decisions (D.) 19-05-036, D.19-05-037, And D.19-05-038."
"May 31, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=482135279""><span style=""color:blue""><u>MOTION</u></span></a>",Small Business Utility Advocates,for Amendment of Intervenor Compensation Claim
"April 07, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=468725416""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2204030 - Decision Granting Compensation To Mussey Grade Road Alliance For Substantial Contribution To Decision (D.) 19-05-036, D.19-05-037, D.19-05-038, And D.19-05-039."
"March 17, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=462186640""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2203027 - Decision Granting Compensation To Mussey Grade Road Alliance For Substantial Contribution To Resolution (RES.) WSD-011 and RES. WSD-012.
"February 16, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=452214563""><span style=""color:blue""><u>REQUEST</u></span></a>",Small Business Utility Advocates,for intervenor compensation for contribution to D21-12-025
"February 15, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=451400308""><span style=""color:blue""><u>REQUEST</u></span></a>","County of Mendocino,County of Napa,County of Nevada,County of Sonoma,City of Santa Rosa",[Joint] Supplement; to Intervenor Compensation Claim
"February 11, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=450123659""><span style=""color:blue""><u>REQUEST</u></span></a>",Green Power Institute,"for intervenor compensation for contribution to D20-03-004 and D21-12-025, and Resolutions WSD-017, WSD-018, WSD-019, WSD-020, WSD-021, WSD-022, and M-4860."
"January 13, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=441154106""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2201013 - Decision Granting Compensation To The Utility Reform Network For Substantial Contribution To Wildfire Safety Division (WSD)-001, WSD-002, WSD-003, WSD-004."
"December 16, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=433082844""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2112025 - Decision Closing Proceeding. Rulemaking 18-10-007 is closed.
"December 02, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=429978652""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2112012 - Decision Granting Compensation To Small Business Utility Advocates For Substantial Contribution To Decision (D.) 19-05-36, D.19-05-037, D.19-05-038,D.19-05-039 & D.19-05-040."
"November 22, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=425517308""><span style=""color:blue""><u>COMMENTS</u></span></a>",Pacific Gas and Electric Company,Reply Comments on Proposed Decision
"November 22, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=425516778""><span style=""color:blue""><u>COMMENTS</u></span></a>",Mussey Grade Road Alliance,Reply Comments on Proposed Decision
"November 22, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=425516427""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Edison Company,REPLY COMMENTS ON PROPOSED DECISION
"November 22, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=425516876""><span style=""color:blue""><u>COMMENTS</u></span></a>",San Diego Gas & Electric Company,REPLY COMMENTS ON PROPOSED DECISION
"November 22, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=425516430""><span style=""color:blue""><u>COMMENTS</u></span></a>",Small Business Utility Advocates,REPLY COMMENTS ON PROPOSED DECISION
"November 18, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=424114732""><span style=""color:blue""><u>EXPARTE</u></span></a>",CPUC/COMMR/BATJER,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION. Shannon O’Rourke, Chief of Staff to President Batjer logs an ex parte meeting with Southern California Edison Company on May 25, 2021 from 11:00 am to 11:30 am."
"November 17, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=424113809""><span style=""color:blue""><u>COMMENTS</u></span></a>",The Utility Reform Network,Opening Comments on Proposed Decision
"November 17, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=424114036""><span style=""color:blue""><u>COMMENTS</u></span></a>",Cal Advocates/CHEN/CPUC,Opening Comments on Proposed Decision
"November 08, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=421057854""><span style=""color:blue""><u>EXPARTE</u></span></a>",CPUC/Sean Simon/Chief of Staff,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION. Sean Simon, Chief of Staff to Commissioner Rechtschaffen; Yuliya Shmidt, advisor to Commissioner Rechtschaffen log an ex parte meeting with SCE on July 27, 2021 from 1:30 pm to 2:00 pm."
"November 04, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=420091999""><span style=""color:blue""><u>EXPARTE</u></span></a>",CPUC/COMMR/BATJER,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION. Brian Korpics, advisor to President Batjer logs an ex parte meeting with San Diego Gas & Electric Company on July 9, 2021 from approximately 10:00 am to 10:30 am."
"October 28, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=417398458""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>",ALJ/FOGEL/CPUC,"PROPOSED DECISION CLOSING PROCEEDING. Opening Comments, which shall not exceed 15 pages, are due on November 17, 2021. Reply Comments, which shall not exceed 5 pages, are due 5 days after the last day for filing Opening Comments. "
"October 27, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=418731844""><span style=""color:blue""><u>EXPARTE</u></span></a>",CPUC/Sean Simon/Chief of Staff,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION. Sean Simon, Chief of Staff to Commissioner Rechtschaffen logs an ex parte meeting with Southern California Edison Company on May 28, 2021 from 1:35 pm to 1:55 pm."
"October 07, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=413566900""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2110008 - Decision Granting Compensation To California Environmental Justice Alliance For Substantial Contribution To Decision 20-03-004.
"October 05, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=412039854""><span style=""color:blue""><u>NOTICE</u></span></a>",Pacific Gas and Electric Company,"THREE-DAY ADVANCE NOTICE OF EX PARTE COMMUNICATION. Pacific Gas and Electric Company is granted an ex parte meeting with Commissioner Martha Guzman Aceves’ Chief of Staff, Jonathan Koltz, and Energy Advisor, Kerry Fleisher on October 8, 2021 at approximately 3:00 pm."
"September 24, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=410145312""><span style=""color:blue""><u>EXPARTE</u></span></a>",COMMR/HOUCK/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION. Pouneh Ghaffarian, Chief of Staff and Legal Advisor; Suzanne Casazza, Legal and Energy Policy Advisor log an ex parte meeting with Southern California Edison Company on August 2, 2021 at 9:30 am to 10:10 am."
"September 24, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=411212309""><span style=""color:blue""><u>EXPARTE</u></span></a>",COMMR HOUCK/ADVISOR/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION. Pouneh Ghaffarian, Chief of Staff and Legal Advisor; Suzanne Casazza, Legal and Energy Policy Advisor log an ex parte meeting with Southern California Edison Company on August 2, 2021 from 1:30 pm to 2:00 pm."
"September 08, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=405052459""><span style=""color:blue""><u>EXPARTE</u></span></a>",COMMR HOUCK/ADVISOR/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION. Christine Powell, Interim Chief of Staff; Suzanne Casazza, Legal and Energy Policy Advisor; Candace Choe, Water, Telco, Safety, and Legal Policy Advisor log an ex parte meeting with Southern California Edison Company on June 11, 2021 at 3:00 pm to 3:30 pm."
"September 01, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=404292657""><span style=""color:blue""><u>EXPARTE</u></span></a>",COMMR GUZMAN ACEVES/ADVISOR/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION. Maria Sotero, Energy Advisor to Commissioner Guzman Aceves logs an ex parte meeting with Southern California Edison Company on August 3, 2021 at 9:30 to 10:10 am."
"September 01, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=404291895""><span style=""color:blue""><u>EXPARTE</u></span></a>",COMMR HOUCK/ADVISOR/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION. Pouneh Ghaffarian, Chief of Staff and Legal Advisor; Suzanne Casazza, Legal and Energy Policy Advisor log an ex parte meeting with Southern California Edison Company on August 2, 2021 at 1:30 pm to 2:00 pm."
"August 23, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=401592100""><span style=""color:blue""><u>EXPARTE</u></span></a>",COMMR HOUCK/ADVISOR/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION. Christine Powell, Interim Chief of Staff; Suzanne Casazza, Legal and Energy Policy Advisor; Candace Choe, Water, Telco, Safety, and Legal Policy Advisor log an ex parte meeting with Southern California Edison Company on June 11, 2021 at 3:00 pm to 3:30 pm."
"August 05, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=397288348""><span style=""color:blue""><u>EXPARTE</u></span></a>",Southern California Edison Company,"NOTICE OF EX PARTE COMMUNICATIONS. Southern California Edison Company reports 3 ex parte meetings with (1) Pouneh Ghaffarian, Chief of Staff and Legal Advisor: Suzanne Casazza, Legal and Energy Policy Advisor to Commissioner Houck on August 2, 2021 at 1:30 pm to 2:00 pm (2) Maria Sotero, Energy Advisor to Commissioner Guzman Aceves on August 3, 2021 from 9:30 am to 10:10 am (3) Nora Hawkins, Energy Advisor to President Batjer, Leuwam Tesfai, Chief of Staff and Legal Advisor; Andrew Dugowson, Interim Energy and Transportation Advisor to Commissioner Shiroma on August 2, 2021 from 8:00 am to 8:55 am."
"July 30, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=396114115""><span style=""color:blue""><u>EXPARTE</u></span></a>",Southern California Edison Company,"NOTICE OF EX PARTE COMMUNICATION. Southern California Edison Company reports an ex parte meeting with Sean Simon, Chief of Staff to Commissioner Rechtschaffen and Yuliya Shmidt, Energy Advisor to Commissioner Rechtschaffen on July 27, 2021 at 1:30 pm to 2:00 pm."
"July 29, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=396174064""><span style=""color:blue""><u>NOTICE</u></span></a>",SOUTHERN CALIFORNIA EDISON COMPANY,Three-Day Advance Notice of Ex Parte Communication
"July 22, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=393926449""><span style=""color:blue""><u>NOTICE</u></span></a>",SOUTHERN CALIFORNIA EDISON COMPANY,THREE-DAY ADVANCE NOTICE OF (3) EX PARTE COMMUNICATIONS
"July 13, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=392632931""><span style=""color:blue""><u>EXPARTE</u></span></a>",San Diego Gas & Electric Company (SDG&E),"NOTICE OF EX PARTE COMMUNICATION. San Diego Gas & Electric Company reports an ex parte meeting with Brian Korpics, Legal and Policy Advisor to President Marybel Batjer on July 9, 2021 at 10:00 am."
"July 07, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=390483420""><span style=""color:blue""><u>EXPARTE</u></span></a>",Small Business Utility Advocates,"LATED-FILED NOTICE OF WRITTEN EX PARTE COMMUNICATION. Small Business Utility Advocates report an ex parte communication with Noraw Hawkins, advisor to Commission President Batjer on July 1, 2021 at 6:32 pm."
"July 06, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=390928825""><span style=""color:blue""><u>NOTICE</u></span></a>",San Diego Gas & Electric Company (SDG&E),"THREE-DAY ADVANCE NOTICE OF EX PARTE COMMUNICATION. San Diego Gas & Electric Company is granted an ex parte meeting with Brian Korpics, Legal and Policy Advisor to President Batjer on July 9, 2021 at 10:00 am."
"June 24, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=389617119""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2106037 - Order Extending Statutory Deadline. This decision extends the statutory deadline in this proceeding until December 31, 2021."
"June 16, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=388404651""><span style=""color:blue""><u>EXPARTE</u></span></a>",Southern California Edison Company,"NOTICE OF EX PARTE COMMUNICATION. Southern California Edison Company reports an ex parte meeting with Christine Powell, Interim Chief of Staff; Suzanne Casazza, Legal and Energy Policy Advisor; Candace Choe, Water, Telco, Safety, and Legal Policy Advisor on June 11, 2021 at 3:00 pm to 3:30 pm."
