Filing Date,Document Type,Filed By,Description
"May 15, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566243406""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Southern California Edison Company,COMMUNITY ENGAGEMENT PLAN PURSUANT TO DECISION 20-08-046
"May 13, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566326072""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/LAKEY/CPUC,ADMINISTRATIVE LAW JUDGES RULING GRANTING COUNTY OF LOS ANGELES MOTION FOR PARTY STATUS
"May 05, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=565498973""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",PACIFIC GAS AND ELECTRIC COMPANY,2023 COMMUNITY ENGAGEMENT PLAN POST-ENGAGEMENT SURVEY REPORT
"April 24, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=565137592""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2504041 - Decision Granting Compensation To Center For Accessible Technology For Substantial Contribution to Decision (D.) 24-08-005.
"April 23, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=564685948""><span style=""color:blue""><u>MOTION</u></span></a>",County of Los Angeles,"Motion for Party Status. MFPS GRANTED via ALJ Ruling Issued by Jonathan Lakey on May 13, 2025."
"April 10, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562062030""><span style=""color:blue""><u>RULING</u></span></a>",CMMR/HOUCK/CPUC,"ASSIGNED COMMISSIONERS RULING NOTICING APRIL 17 WORKSHOP AND PROVIDING PRE-WORKSHOP QUESTIONS. A workshop on Rulemaking (R.) 18-04-019 Scoping Memo Task 6 issues is scheduled for April 17, 2025."
"December 19, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=551498279""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2412050 - Order Extending Statutory Deadline. This decision extends the statutory deadline in this proceeding to January 31, 2026."
"October 11, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=542882890""><span style=""color:blue""><u>REQUEST</u></span></a>",CENTER FOR ACCESSIBLE TECHNOLOGY,for intervenor compensation for contribution to D24-08-005
"September 09, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=539999260""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/LAKEY/CPUC,"Administrative Law Judges Ruling noticing workshop. A workshop is set for September 19, 2024, at 10:00 a.m."
"August 01, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=537988980""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2408005 - Phase 2 Decision Updating Climate Change Adaptation Modeling Requirements And Refining The Climate Adaptation And Vulnerability Assessments. Rulemaking 18-04-019 remains open.
