Filing Date,Document Type,Filed By,Description
"July 17, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=573407625""><span style=""color:blue""><u>EXPARTE</u></span></a>",Green Power Institute,"NOTICE OF EX PARTE COMMUNICATION OF THE GREEN POWER INSTITUTE Pursuant to Rule 8.4 of the Commissions Rules of Practice and Procedure, in proceedings R.18-07-003, R.20-05-003, R.23-01-007, A.24-01-022, and A.24-04-018, the Green Power Institute (GPI), the renewable energy program of the Pacific Institute for Studies in Development, Environment, and Security, provides this Notice of Ex Parte Communication of the Green Power Institute. GPI hereby gives Notice of an Ex Parte meeting that took place between GPI and the Office of Commission President Alice Reynolds on Wednesday, July 16, 2025, at 2:30pm.  Gregg Morris represented GPI.  Drew Hodel, Advisor to the Commissioner, represented President Reynolds office.  The meeting took place over zoom."
"July 11, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=572574370""><span style=""color:blue""><u>EXPARTE</u></span></a>",Green Power Institute,3-DAY ADVANCE NOTICE OF EX PARTE COMMUNICATION.
"June 20, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=570267843""><span style=""color:blue""><u>EXPARTE</u></span></a>","Bioenergy Association of California,Phoenix Energy,West Biofuels,California Forestry Association","NOTICE OF EX PARTE COMMUNICATION. Bioenergy Association of California, California Forestry Association, Phoenix Energy, and West Biofuels report an ex parte meeting with Carolyn Chen Advisor to Commissioner John Reynolds on June 17, 2025 at 1:00 pm."
"June 20, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=570561395""><span style=""color:blue""><u>EXPARTE</u></span></a>","Bioenergy Association of California,West Biofuels,Phoenix Energy,California Forestry Association","NOTICE OF EX PARTE COMMUNICATION. Bioenergy Association of California, California Forestry Association, Phoenix Energy, and West Biofuels report an ex parte meeting with Audrey Neuman Advisor to Commissioner Houck on June 17, 2025 at 8:30 am."
"June 12, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=569070570""><span style=""color:blue""><u>EXPARTE</u></span></a>","West Biofuels,California Forestry Association,Bioenergy Association of California,Phoenix Energy","3-DAY ADVANCE NOTICE OF EX PARTE COMMUNICATION OF THE BIOENERGY ASSOCIATION OF CALIFORNIA,  CALIFORNIA FORESTRY ASSOCIATION, PHOENIX ENERGY, AND WEST BIOFUELS Pursuant to Rule 8.2 of Commissions Rules of Practice and Procedure, the Bioenergy Association of California (BAC), California Forestry Association (CalForests), Phoenix Energy, and West Biofuels hereby give 3 days advance notice  of an ex parte communication to take place in this Rulemaking.  The communication will be a meeting to take place at 8:30am on June 17, 2025, via WebEx.  The meeting participants will include Ms. Audrey Neuman (Advisor to Commissioner Houck), Julia Levin (Executive Director of BAC), Matt Dias   (President of CalForests), Mackenzie Castruita (Business Manager for West Biofuels), Greg Stangl (CEO of Phoenix Energy), and Nick Blair (Senior Policy Advocate for the Association of California Water Agencies).  The Association of California Water Agencies is not a party   to this Rulemaking.  The purpose of the meeting is to discuss the need to extend the BioMAT program."
"June 12, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=569102489""><span style=""color:blue""><u>EXPARTE</u></span></a>","West Biofuels,Bioenergy Association of California,California Forestry Association,Phoenix Energy","3-DAY ADVANCE NOTICE OF EX PARTE COMMUNICATION OF THE BIOENERGY ASSOCIATION OF CALIFORNIA,  CALIFORNIA FORESTRY ASSOCIATION, PHOENIX ENERGY, AND WEST BIOFUELS Pursuant to Rule 8.2 of Commissions Rules of Practice and Procedure, the Bioenergy Association of California (BAC), California Forestry Association (CalForests), Phoenix Energy, and West Biofuels hereby give 3 days advance notice  of an ex parte communication to take place in this Rulemaking.  The communication will be a meeting to take place at 1:00pm on June 17, 2025, via WebEx.  The meeting participants will include Pilar Manriquez and Carolyn Chen (Advisors   to Commissioner John Reynolds), Julia Levin (Executive Director of BAC), Matt Dias (President of CalForests), Mackenzie Castruita (Business Manager for West Biofuels), Greg Stangl (CEO of Phoenix Energy), and Nick Blair (Senior Policy Advocate for the Association of California Water Agencies).  The Association of California Water Agencies is not a party   to this Rulemaking.  The purpose of the meeting is to discuss the need to extend the BioMAT program."
"June 04, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=567610478""><span style=""color:blue""><u>EXPARTE</u></span></a>","West Biofuels,Bioenergy Association of California","NOTICE OF EX PARTE COMMUNICATION OF THE BIOENERGY ASSOCIATION OF CALIFORNIA AND WEST BIOFUELS Pursuant to Rule 8.2 of the Commissions Rules of Practice and Procedure, the Bioenergy Association of California (BAC) and West Biofuels hereby give notice  of an ex parte communication that t ook place in this Rulemaking.  The communication was a meeting at 1:00pm on May 30, 2025, via WebEx.  The meeting participants were Ms. Syche Cai (Advisor to President Reynolds), Julia Levin (Executive Director of BAC), Taylor Parkinson (President of West Biofuels), Mackenzie Castruita (Business Manager for West Biofuels), Nick Blair (Senior Policy Advocate for the Association of California Water Agencies) and Quentin Foster (Chief Government Affairs Officer of H Cycle).The Association of California Water Agencies and H Cycle are not parties to this Rulemaking. The purpose of the meeting was to discuss the need to extend the BioMAT program"
"May 27, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566901876""><span style=""color:blue""><u>EXPARTE</u></span></a>","Bioenergy Association of California,West Biofuels","3-DAY ADVANCE NOTICE OF EX PARTE COMMUNICATION OF THE BIOENERGY ASSOCIATION OF CALIFORNIA AND WEST BIOFUELS Pursuant to Rule 8.2 of Commissions Rules of Practice and Procedure, the Bioenergy Association of California (BAC) and West Biofuels hereby give 3 days advance notice of an ex parte communication to take place in this Rulemaking.  The communication will be a meeting to take place at 1:00pm on May 30, 2025, via WebEx.  The meeting participants will include Ms. Syche Cai (Advisor to President Reynolds), Julia Levin (Executive Director of BAC), Taylor Parkinson (President of West Biofuels), Mackenzie Castruita (Business Manager for West Biofuels), Nick Blair (Senior Policy Advocate for the Association of California Water Agencies) and Quentin Foster (Chief Government Affairs Officer of H Cycle). The Association of California Water Agencies and H Cycle are not parties to this Rulemaking.  The purpose of the meeting is to discuss the need to extend the BioMAT program."
"April 17, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=563431082""><span style=""color:blue""><u>REPLY</u></span></a>",Bioenergy Association of California,REPLY TO RESPONSES TO THE BIOENERGY ASSOCIATION OF CALIFORNIA'S PETITION TO MODIFY DECISION 20-08-043
"April 10, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=563431064""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/NILGUN/CPUC,EMAIL RULING GRANTING MOTIONS FOR PARTY STATUS
"April 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562084633""><span style=""color:blue""><u>RESPONSE</u></span></a>",Pacific Gas and Electric Company,PACIFIC GAS AND ELECTRIC COMPANYS (U 39 E) RESPONSE TO BIOENERGY ASSOCIATION OF CALIFORNIA PETITION TO MODIFY DECISION 20-08-043
"April 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562392319""><span style=""color:blue""><u>RESPONSE</u></span></a>",CALIFORNIA BIOMASS ENERGY ALLIANCE,RESPONSE TO THE BAC PETITION TO MODIFY D.20-08-043 BY THE CALIFORNIA BIOMASS ENERGY ALLIANCE
"April 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562082325""><span style=""color:blue""><u>RESPONSE</u></span></a>","Dairy Cares,Agricultural Energy Consumers Association",JOINT RESPONSE TO BIOENERGY ASSOCIATION OF CALIFORNIA'S PETITION TO MODIFY DECISION 20-08-043
"April 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=563474702""><span style=""color:blue""><u>RESPONSE</u></span></a>",California Association of Sanitation Agencies,CALIFORNIA ASSOCIATION OF SANITATION AGENCIES RESPONSE TO BIOENERGY ASSOCIATION OF CALIFORNIA PETITION TO MODIFY DECISION 20-08-043
"April 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562187985""><span style=""color:blue""><u>RESPONSE</u></span></a>",Southern California Edison Company,RESPONSE OF SOUTHERN CALIFORNIA EDISON COMPANY (U 338-E) TO BIOENERGY ASSOCIATION OF CALIFORNIAS PETITION TO MODIFY DECISION 20-08-04
"April 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=561478654""><span style=""color:blue""><u>RESPONSE</u></span></a>",Green Power Institute,RESPONSE OF THE GREEN POWER INSTITUTE TO THE BAC PETITION FOR MODIFICATION OF D.20-08-043
"April 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562084634""><span style=""color:blue""><u>RESPONSE</u></span></a>",Cal Advocates/M.Miley/CPUC,RESPONSE TO THE BIOENERGY ASSOCIATION OF CALIFORNIA'S PETITION TO MODIFY DECISION 20-08-043
"April 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=561478646""><span style=""color:blue""><u>RESPONSE</u></span></a>","Pioneer Community Energy,Redwood Coast Energy Authority",RESPONSE OF THE JOINT COMMUNITY CHOICE AGGREGATORS TO THE PETITION TO MODIFY DECISION 20-08-043
"April 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=561478637""><span style=""color:blue""><u>MOTION</u></span></a>",The California Forestry Association,"MOTION FOR PARTY STATUS OF CALIFORNIA FORESTRY ASSOCIATION. MFPS Granted via an E-mail Ruling Issued by ALJ Nilgun Atamturk on April 10, 2025"
"April 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=561478645""><span style=""color:blue""><u>MOTION</u></span></a>","West Biofuels, LLC","MOTION FOR PARTY STATUS OF WEST BIOFUELS, LLC. MFPS Granted via an E-mail Ruling Issued by ALJ Nilgun Atamturk on April 10, 2025"
"April 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=564678483""><span style=""color:blue""><u>RESPONSE</u></span></a>",The California Forestry Association,CALIFORNIA FORESTRY ASSOCIATION RESPONSE TO BIOENERGY ASSOCIATION OF CALIFORNIA PETITION TO MODIFY DECISION 20-08-043
"April 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562082322""><span style=""color:blue""><u>MOTION</u></span></a>",California Association of Sanitation Agencies,"MOTION FOR PARTY STATUS OF THE CALIFORNIA ASSOCIATION OF SANITATION AGENCIES. MFPS Granted via an E-mail Ruling Issued by ALJ Nilgun Atamturk on April 10, 2025"
"April 03, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562061977""><span style=""color:blue""><u>RESPONSE</u></span></a>","Center for Biological Diversity,Partnership for Policy Integrity",Response to the Bioenergy Association of California Petition to Modify Decision 20-08-043.
"April 03, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=561438035""><span style=""color:blue""><u>EXPARTE</u></span></a>",CMMR/JOHN_REYNOLDS/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION on March 30, 2022, at 2:30p.m. and lasted approximately 30 minutes via Webex initiated by California Community  Choice Association with Suzanne Casazza, Chief of Staff and Advisor  to Commissioner  John Reynolds;  Maria Sotero, Energy Advisor  to Commissioner John Reynolds;  Dina Mackin, Regulatory  Analyst, Energy  Division;  and Nicholas Dahlberg,  Senior Energy  Policy  Analyst,  Energy Division and Eric Little, California Community  Choice Association -Director of Regulatory  Affairs; Leanne Bober,  California Community  Choice Association -Senior Counsel;  Ann Springgate,  Keyes  & Fox -CalCCA Counsel;  and Matthew H. Langer,  Clean Power Alliance -Chief Operating Officer.  See also, notice filed 4-4-22."
"April 03, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562082296""><span style=""color:blue""><u>EXPARTE</u></span></a>",CMMR/JOHN_REYNOLDS/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION on May 4, 2022, at 4:00 p.m. and lasted approximately 35 minutes via Webex initiated by California Community  Choice Association with Maria Sotero, Energy  Advisor  to Commissioner John Reynolds; Dina Mackin, Regulatory Analyst,  Energy  Division; and Nicholas Dahlberg,  Senior Energy  Policy  Analyst, Energy  Division and Evelyn  Kahl, CalCCA -General Counsel  and Director of Policy;  Eric Little, CalCCA Director of Regulatory  Affairs; Leanne Bober,  CalCCA -Senior Counsel;  Ann Springgate, Keyes  and Fox  LLP -Counsel  for CalCCA; Sabrinna Soldavini, MCE -Policy -Analyst II; and Byron Vosburg, San Diego Community Power -Director of Power Services. See also, notice filed 5-6-22."
"April 03, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562188047""><span style=""color:blue""><u>EXPARTE</u></span></a>",CMMR/JOHN_REYNOLDS/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION on May 6, 2022, at 1:30p.m. and lasted approximately 30 minutes via Webex initiated by Southern California Edison Company (SCE), Pacific Gas and Electric Company (PG&E), and San Diego Gas & Electric Company (SDG&E) with Maria Sotero, Energy Advisor to Commissioner John Reynolds and Diana Gallegos, Director of State Regulatory Affairs; Maria Litos, Principal Manager Contract Origination. Cem Turhal, Principal, Regulatory Affairs; Erica Brown. Chris Summers, Director of Origination & Portfolio Design. Michael Ruzzo, Energy Procurement Advisor; Kari Kloberdanz, Manager of Regulatory Relations; and Dennis Peters, Manager of Regulatory Relations. See also, notice filed 5-11-22"
"March 06, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=558427287""><span style=""color:blue""><u>PETITION FOR MODIFICATION</u></span></a>",Bioenergy Association of California,PETITION TO MODIFY DECISION 20-08-043
"December 05, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=549077058""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2412023 - Decision Granting Compensation To The Utility Reform Network For Substantial Contribution To Decision (D.) 19-06-023, D.19-08-007, D.21-11-029, D.22-01-025, And D.22-06-034."
"November 22, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=547537732""><span style=""color:blue""><u>EXPARTE</u></span></a>",CMMR/JOHN_REYNOLDS/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION. Maria Sotero and Jake McDermott, Advisors to Commissioner John Reynolds log an ex parte meeting with Small Business Utility Advocates on September 18, 2024 at 2:00 pm."
"October 17, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=544078484""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2410021 - Decision Granting Intervenor Compensation To Small Business Utility Advocates For Substantial Contribution To Decision (D.) 23-12-008.
"September 19, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=540720225""><span style=""color:blue""><u>EXPARTE</u></span></a>",Small Business Utility Advocates,"REPORT OF EX PARTE COMMUNICATION Pursuant to Rule 8.4of the California Public Utilities Commissions Rules of Practice and Procedure, Small Business Utility Advocates (SBUA) reports that on September 18, 2024, Britt Mara, SBUA Executive Director, and Ariel Strauss, SBUA Regulatory Counsel, met by video conference from approximately 2:00 to2:30 with Maria Sotero and Jake McDermott, Advisors to Commissioner John Reynolds, to discuss proposed decision concerning SBUAs request for compensation in connection with the 2023 RPS Plans. SBUA provided the slides attached hereto as Attachment A and the conversation tracked the topics shown therein. Dated: September 19, 2024."
"September 12, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=539998974""><span style=""color:blue""><u>EXPARTE</u></span></a>",Small Business Utility Advocates,"THREE-DAY ADVANCE EX PARTE NOTICE Pursuant to Rule 8.2 of the California Public Utilities Commissions Rules of Practice and Procedure, Small Business Utility Advocates (SBUA) gives three business days advance notice that SBUA intends to hold a remote video-conferencing ex parte meeting to discuss the proposed decision on SBUAs request for compensation in the above-captioned proceeding. Britt Mara, SBUA Executive Director, and Ariel Strauss, Regulatory Counsel, are scheduled to meet on Wednesday, September 18, 2024, from approximately 2:00 to 2:30 with Maria Sotero and Jake McDermott, Advisors to Commissioner John Reynolds."
"September 09, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=540719707""><span style=""color:blue""><u>COMMENTS</u></span></a>",Small Business Utility Advocates,OPENING COMMENTS ON PROPOSED DECISION
"August 19, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=538140960""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>",ALJ/ATAMTURK/CPUC,"PROPOSED DECISION GRANTING INTERVENOR COMPENSATION TO SMALL BUSINESS UTILITY ADVOCATES FOR SUBSTANTIAL CONTRIBUTION TO DECISION (D.) 23-12-008. Opening comments, which shall not exceed 15 pages, are due no later than September 8, 2024. Reply comments, which shall not exceed 5 pages, are due within five days after the last day for filing opening comments."
"June 25, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=534536254""><span style=""color:blue""><u>REQUEST</u></span></a>",The Utility Reform Network,"for intervenor compensation for contribution to D19-06-023, D19-08-007, D21-11-029, D22-01-025, D22-06-034"
"May 30, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=533067744""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2405038 - Decision Closing Rulemaking 18-07-003. Rulemaking 18-07-003 is closed.
"May 17, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=531786530""><span style=""color:blue""><u>REQUEST</u></span></a>",Small Business Utility Advocates,Supplement: to the intervenor compensation claim
"May 09, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=531784117""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2405023 - Decision Granting Compensation To The Small Business Utility Advocates For Substantial Contribution To Decisions (D.) 18-11-004, D.19-02-007, D.19-06-023, D.19-09-043, D.19-12-042, Res. E-4977, D.21-01-005, and D.22-12-030."
"April 17, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=529525761""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>",ALJ/ATAMTURK/ CPUC,"Proposed Decision closing Rulemaking 18-07-003. Opening comments, which shall not exceed 15 pages, are due no later than May 07, 2024. Reply comments, which shall not exceed 5 pages, are due within five days after the last day for filing opening comments."
"April 04, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=528846470""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/ATAMTURK/CPUC,Administrative Law Judges Ruling regarding the motions for leave to file confidential material under seal.
