Filing Date,Document Type,Filed By,Description
"March 28, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560138254""><span style=""color:blue""><u>NOTICE</u></span></a>",CALJ/COOKE/CPUC,Notice of Reassignment.
"August 08, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=516269894""><span style=""color:blue""><u>NOTICE</u></span></a>",CALJ/Cooke/CPUC,NOTICE OF REASSIGNMENT
"June 12, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=511023335""><span style=""color:blue""><u>NOTICE</u></span></a>",CALJ/COOKE/CPUC,Notice of Reassignment.
"May 26, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=480218807""><span style=""color:blue""><u>NOTICE</u></span></a>",CALJ/Simon/CPUC,NOTICE OF REASSIGNMENT. Rulemaking 12-02-009 is being Reassigned from President Marybel Batjer to Commissioner John R.D. Reynolds.
"September 07, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=405097767""><span style=""color:blue""><u>RESPONSE</u></span></a>","Southern California Edison Company,Pacific Gas and Electric Company,San Diego Gas & Electric Company",JOINT RESPONSE TO JOINT COMMUNITY CHOICE AGGREGATORS’ PETITION FOR MODIFICATION OF DECISION 12-12-036
"August 06, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=398046664""><span style=""color:blue""><u>PETITION FOR MODIFICATION</u></span></a>","City of Baldwin Park,City of Lancaster,City of Pico Rivera,City of Pomona,City of Rancho Mirage,City of San Jacinto,San José, administrator for San José Clean Energy,City and County of San Francisco,Central Coast Community Energy,Clean Energy Alliance,Clean Power Alliance,East Bay Community Energy,Marin Clean Energy,Pioneer Community Energy,Redwood Coast Energy Authority,San Diego Community Power,Sonoma Clean Power,Town of Apple Valley",JOINT PETITION FOR MODIFICATION OF DECISION 12-12-036
"March 04, 2020","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=328686337""><span style=""color:blue""><u>NOTICE</u></span></a>",CALJ/SIMON/CPUC,Notice of Co-Assignment.
"January 29, 2020","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=325526292""><span style=""color:blue""><u>NOTICE</u></span></a>",CALJ/SIMON/CPUC,Notice of Reassignment.
"October 12, 2018","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=254771282""><span style=""color:blue""><u>NOTICE</u></span></a>",Los Angeles Community Choice Energy,NOTICE OF CHANGE OF NAME
"March 12, 2018","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=212763078""><span style=""color:blue""><u>REPLY</u></span></a>","Southern California Edison Company,San Diego Gas & Electric Company,Pacific Gas and Electric Company","Reply Of Pacific Gas And Electric Company (U 39-E), San Diego Gas & Electric Company (U 902-E) And Southern California Edison Company (U 338-E) In Support Of Petition For Modification Of Decision 12-12-036."
