Filing Date,Document Type,Filed By,Description
"May 15, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566244738""><span style=""color:blue""><u>RESPONSE</u></span></a>","Southern California Gas Company,San Diego Gas & Electric Company",JOINT RESPONSE TO PETITION FOR MODIFICATION OF DECISION 19-05-019
"May 15, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566327237""><span style=""color:blue""><u>RESPONSE</u></span></a>",Natural Resources Defense Council,RESPONSE TO PETITION TO MODIFY DECISION 19-05-019
"May 15, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566347722""><span style=""color:blue""><u>RESPONSE</u></span></a>",Pacific Gas and Electric Company,RESPONSE TO PETITION FOR MODIFICATION OF DECISION 19-05-019
"May 15, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566327278""><span style=""color:blue""><u>RESPONSE</u></span></a>","Recurve Analytics, Inc.",RESPONSE TO PETITION FOR MODIFICATION OF DECISION 19-05-019
"May 15, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566347723""><span style=""color:blue""><u>RESPONSE</u></span></a>",CalAdvocates/Dutta/CPUC,RESPONSE PETITION FOR MODIFICATION OF DECISION 19-05-019
"May 15, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566327227""><span style=""color:blue""><u>RESPONSE</u></span></a>",Southern California Edison Company,RESPONSE TO PETITION FOR MODIFICATION OF DECISION 19-05-019
"April 29, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=565140606""><span style=""color:blue""><u>NOTICE</u></span></a>",CALJ/COOKE/CPUC,Notice of Reassignment.
"April 15, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=563203670""><span style=""color:blue""><u>PETITION FOR MODIFICATION</u></span></a>",California Efficiency + Demand Management Council,PETITION FOR MODIFICATION OF DECISION 19-05-019
"January 19, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=523842578""><span style=""color:blue""><u>EXPARTE</u></span></a>",COMMR HOUCK/ADVISOR/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION on April 19, 2023, starting at 11:30 a.m.-11:55a.m. via WebEx, Oral and written, initiated by Solar Energy Industries Association with Maryam Mozafari, Energy Advisor, of Commissioner Darcie L. Houck.  For written materials please refer to notice filed by SEIA on 4-21-23."
"June 05, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=510521302""><span style=""color:blue""><u>EXPARTE</u></span></a>",CPUC/COMMR/PresidentReynolds,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATIONDATE an on April 19,2023, at 11:00AM lasting approximately thirty minutes via Webex initiated by Solar Energy Industries Association with Kerry Fleisher, Chief Policy Advisor to President Reynolds and Rick Umoff, Senior Director and Counsel, California; Jeanne Armstrong, Regulatory Counsel; and Tom Beach, consultant. For written materials please refer to notice filed by SEIA April 21, 2023."
"May 18, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=509545057""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2305004 - Decision Dismissing Petition For Modification Of Decision 22-05-002. Rulemaking 14-10-003 is closed.
"April 21, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=506878476""><span style=""color:blue""><u>EXPARTE</u></span></a>",Solar Energy Industries Association,"NOTICE OF EX PARTE MEETINGS Pursuant to Rule 8.3 of the Commission’s Rules of Practice and Procedure, the Solar Energy Industries Association (“SEIA”) submits this Notice of Ex Parte Meetings. Kerry Fleisher, Chief of Staff to Commissioner Alice Reynolds. The meeting occurred by WebEx on April 19, 2023, starting at 11:00 a.m. and lasted approximately one-half hour.  Maryam Mozafari, Energy Advisor for Commissioner Darcie Houck. The meeting occurred by WebEx on April 19, 2023, starting at 11:30 a.m. and lasted approximately one-half hour. Attending for SEIA were Rick Umoff, Senior Director and Counsel, California, Jeanne Armstrong, Regulatory Counsel, and Tom Beach, an outside consultant."
"April 14, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=506522539""><span style=""color:blue""><u>NOTICE</u></span></a>",Solar Energy Industries Association,"THREE DAY NOTICE OF GRANT OF EX PARTE MEETING. Solar Energy Industries Association is granted ex parte meetings with (1) Maryam Mozafari, Energy Advisor to Commissioner Darcie Houck on April 19, 2023 at 10:00 am (2) Kerry Fleisher, Chief of Staff to President Alice Reynolds on April 19, 2023 at 11:00 am."
"April 12, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=506522981""><span style=""color:blue""><u>COMMENTS</u></span></a>","Solar Energy Industries Association,California Solar & Storage Association",JOINT COMMENTS ON PROPOSED DECISION DISMISSING PETITION FOR MODIFICATION OF DECISION 22-05-002. [NOTE:  Correct Filed Date is 4/12/23.]
"April 12, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=506169961""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Edison Company,Opening Comments on Proposed Decision
"April 06, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=506156889""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2304031 - Decision Granting Compensation To The Utility Reform Network For Contributions To Decision (D.) 21-12-006 And Resolution E-5150.
"March 23, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=504402118""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>",ALJ/HYMES/CPUC,"PROPOSED DECISION DISMISSING PETITION FOR MODIFICATION OF DECISION 22-05-002. Opening Comments, which shall not exceed 15 pages, are due on April 12, 2023. Reply Comments, which shall not exceed 5 pages, are due 5 days after the last day for filing Opening Comments."
"November 14, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=498802341""><span style=""color:blue""><u>REPLY</u></span></a>","Solar Energy Industries Association,California Solar & Storage Association","JOINT REPLY TO PACIFIC GAS AND ELECTRIC COMPANY, SOUTHERN CALIFORNIA EDISON COMPANY AND SAN DIEGO GAS & ELECTRIC COMPANY’S JOINT RESPONSE TO PETITION TO MODIFY DECISION 22-05-00"
"November 02, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=498076622""><span style=""color:blue""><u>RESPONSE</u></span></a>","Pacific Gas and Electric Company,San Diego Gas & Electric Company,Southern California Edison Company","PACIFIC GAS AND ELECTRIC COMPANY (U 39 E), SOUTHERNCALIFORNIA EDISON COMPANY (U 338 E), AND SAN DIEGOGAS & ELECTRIC COMPANY’S (U 902 E) JOINT RESPONSE TOTHE PETITION TO MODIFY DECISION 22-05-002"
"November 02, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=498076623""><span style=""color:blue""><u>RESPONSE</u></span></a>",350 Bay Area,RESPONSE OF 350 BAY AREA TO THE PETITION OF THE SOLAR ENERGY INDUSTRIES ASSOCIATION AND THE CALIFORNIA SOLAR & STORAGE ASSOCIATION TO MODIFY DECISION 22-05-002
