Filing Date,Document Type,Filed By,Description
"July 23, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=574351061""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Pacific Gas and Electric Company,"QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF PROGRAM REPORT FOR THE PERIOD OF APRIL 1, 2025 JUNE 30, 2025"
"July 21, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=574337402""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","Pacific Gas and Electric Company,San Diego Gas & Electric Company,PacifiCorp,Liberty Utilities (CalPeco Electric) LLC,Southern California Edison Company",JOINT SEMI-ANNUAL ADMINISTRATIVE EXPENSE REPORT FOR SOLAR ON MULTIFAMILY AFFORDABLE HOUSING
"April 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=565140193""><span style=""color:blue""><u>REPORT</u></span></a>",Southern California Edison Company,Disadvantaged Communities Green Tariff and Community Solar Green Tariff First Quarter 2025 Report.
"April 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=565141531""><span style=""color:blue""><u>REPORT</u></span></a>",Peninsula Clean Energy Authority,QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFFPROGRAM REPORT FOR FIRST QUARTER 2025 OFPENINSULA CLEAN ENERGY AUTHORITY
"April 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=565141519""><span style=""color:blue""><u>REPORT</u></span></a>",CleanPowerSF,Quarterly Disadvantaged Communities Green Tariff Report for First Quarter 2025.
"April 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=565499054""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Clean Power Alliance of Southern California,QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF AND COMMUNITY SOLAR GREEN TARIFF PROGRAMS REPORT FOR FIRST QUARTER 2025
"April 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=565140785""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Ava Community Energy,QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF PROGRAM REPORT FOR FIRST QUARTER 2025
"April 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=565140649""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Marin Clean Energy,"QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF PROGRAM REPORT JANUARY 1, 2025 TO MARCH 31, 2025"
"April 29, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=565140511""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Pacific Gas and Electric Company,"QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF PROGRAM REPORT OF PACIFIC GAS & ELECTRIC COMPANY (U 39-E) FOR THE PERIOD OF JANUARY 1, 2025  MARCH 31, 2025."
"April 29, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=565140276""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","City of Pico Rivera,City of San Jacinto,City of Lancaster",JOINT QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF PROGRAM REPORT FOR FIRST QUARTER 2025
"April 29, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=565140074""><span style=""color:blue""><u>REPORT</u></span></a>",San Diego Community Power,QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF AND COMMUNITY SOLAR GREEN TARIFF PROGRAMS REPORT FOR FIRST QUARTER 2025.
"April 10, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562975557""><span style=""color:blue""><u>EXPARTE</u></span></a>",CMMR/JOHN_REYNOLDS/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION. Maria Sotero, Policy Advisor to Commissioner John Reynolds logs an ex parte meeting with Sunrun on July 1, 2024 at 3:00 pm."
"April 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562392324""><span style=""color:blue""><u>EXPARTE</u></span></a>",CMMR/JOHN_REYNOLDS/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION. Maria Sortero, Advisor from Commissioner Reynolds' Office logs an ex parte meeting with Sunrun on September 27, 2022 at 10:30 am.
"
"January 31, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=555961271""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Peninsula Clean Energy Authority,QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF PROGRAM REPORT FOR FOURTH QUARTER 2024
"January 31, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=556602963""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","Pacific Gas and Electric Company,Liberty Utilities (CalPeco Electric) LLC,PacifiCorp,Southern California Edison Company,San Diego Gas & Electric Company",JOINT SEMI-ANNUAL ADMINISTRATIVE EXPENSE REPORT FOR SOLAR ON MULTIFAMILY AFFORDABLE HOUSING (SOMAH)
"January 31, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=556455174""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",SAN DIEGO GAS & ELECTRIC COMPANY,QUARTERLY DISADVANTAGED COMMUNITY GREEN TARIFF AND COMMUNITY SOLAR GREEN TARIFF PROGRAM PROGRESS REPORT Q4 2024
"January 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=555961202""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",CITY AND COUNTY OF SAN FRANCISCO - CLEANPOWERSF,QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF PROGRAM REPORT FOR THE FOURTH QUARTER OF 2024
"January 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=556052976""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Ava Community Energy,QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF PROGRAM REPORT FOR FOURTH QUARTER 2024
"January 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=556410319""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Pacific Gas and Electric Company,"Quarterly Disadvantaged Communities Green Tariff Program Report of Pacific Gas and Electric Company for the period of October 1, 2024  December 31, 2024."
"January 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=555961110""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Southern California Edison Company,DISADVANTAGED COMMUNITIES GREEN TARIFF AND COMMUNITY SOLAR GREEN TARIFF FOURTH QUARTER 2024  REPORT
"January 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=555914661""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","City of Pico Rivera,City of Lancaster,City of San Jacinto",JOINT QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF PROGRAM REPORT
"January 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=555960603""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Marin Clean Energy,"QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF AND COMMUNITY SOLAR GREEN TARIFF PROGRAMS REPORT OCTOBER 1, 2024 TO DECEMBER 31, 2024 AND SEMI-ANNUAL COMMUNITY SOLAR GREEN TARIFF PROGRAMS REPORT FOR JULY 1, 2024  TO DECEMBER 31, 2024"
"January 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=555961210""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Clean Power Alliance of Southern California,QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF AND COMMUNITY SOLAR GREEN TARIFF PROGRAMS REPORT FOR FOURTH QUARTER 2024 AND SEMI-ANNUAL COMMUNITY SOLAR GREEN TARIFF PROGRAM FOR THE PERIOD OF JULY 2024 TO DECEMBER 2024
"January 30, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=555914660""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Southern California Edison Company,COMMUNITY SOLAR GREEN TARIFF SEMI-ANNUAL REPORT
"November 07, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=546560999""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2411006 - Decision Modifying Solar On Multifamily Affordable Housing Program. Rulemaking 14-07-002 and Application 16-07-015 are closed.
"October 31, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=545343428""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",SAN DIEGO GAS & ELECTRIC COMPANY,QUARTERLY DISADVANTAGED COMMUNITY GREEN TARIFF AND COMMUNITY SOLAR GREEN TARIFF PROGRAM PROGRESS REPORT OF Q3 2024
"October 30, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=545344199""><span style=""color:blue""><u>REPORT</u></span></a>",Clean Power Alliance of Southern California,Quarterly Disadvantaged Communities Green Tariff and Community Solar Green Tariff Programs Report of Clean Power Alliance of Southern California for Third Quarter 2024.
"October 30, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=545343759""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","City of Lancaster,City of Pico Rivera,City of San Jacinto",JOINT QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF PROGRAM REPORT FOR THIRD QUARTER 2024
"October 30, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=545343758""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Peninsula Clean Energy Authority,QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF PROGRAM REPORT FOR THIRD QUARTER 2024
"October 30, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=545343867""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Southern California Edison Company,DISADVANTAGED COMMUNITIES GREEN TARIFF AND COMMUNITY SOLAR GREEN TARIFF THIRD QUARTER 2024 REPORT
"October 30, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=545343992""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Ava Community Energy,QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF PROGRAM REPORT FOR THIRD QUARTER 2024
"October 29, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=545343866""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Marin Clean Energy,"QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF AND COMMUNITY SOLAR GREEN TARIFF PROGRAMS REPORT JULY 1, 2024 TO SEPTEMBER 30, 2024"
"October 28, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=544652361""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Edison Company,Reply comments of Southern California Edison Company on the Proposed Decision of ALJ Kao modifying Solar on Multifamily Affordable Housing Program.
"October 28, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=545343979""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",CITY AND COUNTY OF SAN FRANCISCO - CLEANPOWERSF,QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF PROGRAM REPORT FOR THE THIRD QUARTER OF 2024
"October 28, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=543727395""><span style=""color:blue""><u>COMMENTS</u></span></a>",Center for Sustainable Energy,Reply comments of Center for Sustainable Energy on Proposed Decision modifying Solar on Multifamily Affordable Housing Program (filing authorized by ALJ Kao per e-mail of 10/20/2024).
"October 28, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=543837605""><span style=""color:blue""><u>COMMENTS</u></span></a>",California Solar & Storage Association,Reply comments of the California Solar & Storage Association on the Proposed Decision.
"October 28, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=543727385""><span style=""color:blue""><u>COMMENTS</u></span></a>",Pacific Gas and Electric Company,Reply comments of Pacific Gas and Electric Company on the Proposed Decision modifying Solar on Multifamily Affordable Housing Program.
"October 28, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=544870404""><span style=""color:blue""><u>COMMENTS</u></span></a>",San Diego Gas & Electric Company,Reply comments on San Diego Gas & Electric Company on Proposed Decision modifying Solar on Multifamily Affordable Housing Program.
"October 24, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=543698466""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Pacific Gas and Electric Company,"QUARTERLY DISADVANTAGED COMMUNITIES GREEN TARIFF AND COMMUNITY SOLAR GREEN TARIFF PROGRAMS REPORT FOR THE PERIOD OF JULY 1, 2024 SEPTEMBER 30, 2024"
"October 21, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=543610773""><span style=""color:blue""><u>COMMENTS</u></span></a>",PacifiCorp,PacifiCorp Comments on Proposed Decision modifying the Solar on Multifamily Affordable Housing Program.
