Filing Date,Document Type,Filed By,Description
"July 22, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=574351054""><span style=""color:blue""><u>COMMENTS</u></span></a>",CAL ADVOCATES/MERZA/CPUC,"COMMENTS ON SOUTHERN CALIFORNIA EDISON COMPANYS JUNE 10, 2025 PUBLIC SAFETY POWER SHUTOFF POST-EVENT REPORT"
"July 21, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=573391805""><span style=""color:blue""><u>COMMENTS</u></span></a>",CAL ADVOCATES/MERZA/CPUC,COMMENTS ON BEAR VALLEY ELECTRIC SERVICE INC. (BVES) 2025 PUBLIC SAFETY POWER SHUTOFF PRE-SEASON REPORT
"July 21, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=574335995""><span style=""color:blue""><u>COMMENTS</u></span></a>",CAL ADVOCATES/MERZA/CPUC,COMMENTS ON SOUTHERN CALIFORNIA EDISON COMPANYS 2025 PUBLIC SAFETY POWER SHUTOFF PRE-SEASON REPORT
"July 21, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=574337414""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Pacific Gas and Electric Company,"PUBLIC SAFETY POWER SHUTOFF POST-EVENT REPORT FOR JUNE 19, 2025 TO JUNE 22, 2025 (ATTACHMENT A, TABLE A-1.2 FILED ON ARCHIVAL GRADE DVD)"
"July 21, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=573507675""><span style=""color:blue""><u>COMMENTS</u></span></a>",CAL ADVOCATES/MERZA/CPUC,COMMENTS OF THE PUBLIC ADVOCATES OFFICE ON LIBERTY UTILITIES (LIBERTY) 2025 PUBLIC SAFETY POWER SHUTOFF PRE-SEASON REPORT
"July 21, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=573432212""><span style=""color:blue""><u>COMMENTS</u></span></a>",CalAdvocates/Merza/CPUC,COMMENTS OF THE PUBLIC ADVOCATES OFFICE ON PACIFIC GAS AND ELECTRIC COMPANYS 2025 PUBLIC SAFETY POWER SHUTOFF PRE-SEASON REPORT
"July 18, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=573507657""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Southern California Edison Company,QUARTERLY PROGRESS REPORT ON PUBLIC SAFETY POWER SHUTOFF ADVISORY BOARD AND WORKING GROUPS
"July 18, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=573507537""><span style=""color:blue""><u>REPORT</u></span></a>",Pacific Gas and Electric Company,After Meeting Quarterly Community Wildfire Safety Program Regional Working Group Report.
"July 10, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=572574581""><span style=""color:blue""><u>AMENDMENT</u></span></a>",Southern California Edison Company,SOUTHERN CALIFORNIA EDISON COMPANY'S (U 338-E) AMENDMENT TO PUBLIC SAFETY POWER SHUTOFF 2025 PRE-SEASON REPORT
"July 10, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=572574889""><span style=""color:blue""><u>REPORT</u></span></a>","Southern California Edison Company,Pacific Gas and Electric Company,San Diego Gas & Electric Company",Joint Working Group Report.
