Filing Date,Document Type,Filed By,Description
"April 06, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=505808161""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2304029 - Decision Granting Compensation To Green Power Institute For Substantial Contribution To Decision (D.) 20-03-005 And D.21-09-005.
"November 02, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=498811947""><span style=""color:blue""><u>REPORT</u></span></a>",Southern California Edison Company,LOAD ICA REFINEMENTS ANNUAL REPORT
"February 28, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=454865267""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Pacific Gas and Electric Company,ICA REFINEMENTS ANNUAL REPORT
"October 22, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=417419230""><span style=""color:blue""><u>REQUEST</u></span></a>",Green Power Institute,for intervenor compensation for contribution to D03-005 and D21-09-005
"September 24, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=411231536""><span style=""color:blue""><u>LAW & MOTION</u></span></a>",San Diego Gas & Electric Company,LAW AND MOTION MOTION FOR LEAVE TO FILE CONFIDENTIAL MATERIALS UNDER SEAL. Portions redacted.
"September 24, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=411212341""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",San Diego Gas & Electric Company,[PUBLIC VERSION] RESUBMITTAL OF 2021 GRID NEEDS ASSESSMENT AND DISTRIBUTION DEFERRAL OPPORTUNITY REPORT 
"September 09, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=405069132""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/ MASON/CPUC,Administrative Law Judge’s Ruling ordering refinements to Load Integration Capacity Analysis. 
"September 09, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=406748335""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2109005 - Decision Approving, As Modified, And Closing Application (A.) 15-07-002, A.15-07-003, A.15-07-005, A.15-07-006, A.15-07-007, And A.15-07-008; And Closing Rulemaking 14-08-013. Rulemaking 14-08-013 and Application (A.) 15-07-002, A.15-07-003, A.15-07-005, A.15-07-006, A.15-07-007, and A.15-07-008 shall be closed."
"September 03, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=404292369""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/MASON/CPUC,"E-MAIL RULING GRANTING PACIFIC GAS AND ELECTRIC COMPANYMOTION FOR EXTENSION OF TIME TO PUBLISH DATA ON ONLINE PORTAL. This e-mail ruling grants PG&E’s Motion for Extension of Time to Publish Data on Online Portal to September 8, 2021"
"August 27, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=403447505""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Edison Company,"Reply comments on party proposals regarding integration capacity analysis refinements submitted on May 28, 2021. "
"August 27, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=403293595""><span style=""color:blue""><u>COMMENTS</u></span></a>",Pacific Gas and Electric Company,Reply comments on integration capacity analysis refinements proposals.
"August 27, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=402884449""><span style=""color:blue""><u>COMMENTS</u></span></a>",San Diego Gas & Electric Company,Reply comments on party proposals regarding uniform load integration capacity analysis refinements.
