Filing Date,Document Type,Filed By,Description
"July 21, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=573391799""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",PACIFIC GAS AND ELECTRIC COMPANY,MONTHLY DISCONNECT DATA REPORT
"July 21, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=573392000""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",San Diego Gas & Electric Company,DISCONNECTION SETTLEMENT MONTHLY REPORT
"July 21, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=573432209""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Southern California Edison Company,MONTHLY DISCONNECT DATA REPORT JUNE 2025
"July 17, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=573513430""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Southern California Gas Company,DISCONNECTION SETTLEMENT MONTHLY REPORT .
"June 26, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=571985376""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2506064 - Decision Granting Compensation To The Utility Reform Network For Substantial Contribution To Decision (D.) 24-02-046 And D.24-11-005.
"June 20, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=570522880""><span style=""color:blue""><u>REPORT</u></span></a>",SAN DIEGO GAS & ELECTRIC COMPANY,DISCONNECTION SETTLEMENT MONTHLY REPORT.
"June 20, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=570195931""><span style=""color:blue""><u>REPORT</u></span></a>",Southern California Edison Company,MONTHLY DISCONNECT DATA REPORT MAY 2025
"June 20, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=570400836""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Southern California Gas Company,DISCONNECTION SETTLEMENT MONTHLY REPORT.
"June 20, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=570267820""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Pacific Gas and Electric Company,MONTHLY DISCONNECT DATA REPORT.
"June 19, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=570138144""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",SAN DIEGO GAS & ELECTRIC COMPANY,AMENDED MARCH DISCONNECTION SETTLEMENT MONTHLY REPORT
"June 19, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=570267796""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",SAN DIEGO GAS & ELECTRIC COMPANY,AMENDED JANUARY DISCONNECTION SETTLEMENT MONTHLY REPORT
"June 19, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=570267794""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",SAN DIEGO GAS & ELECTRIC COMPANY,AMENDED FEBRUARY DISCONNECTION SETTLEMENT MONTHLY
